Country,Total Cases,Total Deaths,Total Recovered
North America,"131,889,132","1,695,941","127,665,129"
Asia,"221,500,265","1,553,662","205,673,091"
Europe,"253,406,198","2,101,824","248,754,104"
South America,"70,200,879","1,367,332","66,683,585"
Oceania,"14,895,771","33,015","14,752,388"
Africa,"12,860,924","258,892","12,090,808"
,721,15,706
World,"704,753,890","7,010,681","675,619,811"
USA,"111,820,082","1,219,487","109,814,428"
India,"45,035,393","533,570",N/A
France,"40,138,560","167,642","39,970,918"
Germany,"38,828,995","183,027","38,240,600"
Brazil,"38,743,918","711,380","36,249,161"
S. Korea,"34,571,873","35,934","34,535,939"
Japan,"33,803,572","74,694",N/A
Italy,"26,723,249","196,487","26,361,218"
UK,"24,910,387","232,112","24,678,275"
Russia,"24,124,215","402,756","23,545,818"
Turkey,"17,232,066","102,174",N/A
Spain,"13,914,811","121,760","13,762,417"
Australia,"11,853,144","24,414","11,820,014"
Vietnam,"11,625,195","43,206","10,640,971"
Taiwan,"10,241,523","19,005","10,222,518"
Argentina,"10,128,845","130,841","9,997,258"
Netherlands,"8,635,786","22,992","8,612,599"
Mexico,"7,702,809","334,958","6,899,865"
Iran,"7,627,186","146,811",N/A
Indonesia,"6,829,221","162,063","6,647,104"
Poland,"6,661,991","120,598",N/A
Colombia,"6,400,173","143,200","6,212,152"
Greece,"6,101,379","37,869",N/A
Austria,"6,081,287","22,542","6,054,934"
Portugal,"5,643,062","28,126","5,614,809"
Ukraine,"5,557,995","112,418","5,445,577"
Chile,"5,384,853","64,497","5,252,450"
Malaysia,"5,278,406","37,348","5,233,268"
Canada,"4,946,090","59,034","4,881,312"
Belgium,"4,861,695","34,376","4,826,798"
Israel,"4,841,772","12,707","4,798,473"
DPRK,"4,772,813",74,"4,772,739"
Thailand,"4,770,149","34,586","4,692,636"
Czechia,"4,759,041","43,517","4,715,206"
Peru,"4,572,667","222,161","4,350,506"
Switzerland,"4,453,053","14,452","4,438,309"
Philippines,"4,140,383","66,864","4,067,381"
South Africa,"4,076,463","102,595","3,912,506"
Romania,"3,529,735","68,929","3,460,149"
Denmark,"3,183,756","8,814","3,174,942"
Singapore,"3,006,155","2,024","3,004,131"
Hong Kong,"2,937,609","14,924","2,916,005"
Sweden,"2,754,129","27,407","2,726,492"
New Zealand,"2,621,111","5,697","2,613,791"
Serbia,"2,615,054","18,057","2,596,608"
Iraq,"2,465,545","25,375","2,439,497"
Hungary,"2,230,232","49,048","2,152,155"
Bangladesh,"2,049,377","29,493",N/A
Slovakia,"1,877,605","21,224","1,856,381"
Georgia,"1,861,665","17,132",N/A
Jordan,"1,746,997","14,122","1,731,007"
Ireland,"1,734,582","9,491","1,724,921"
Pakistan,"1,581,936","30,664","1,538,689"
Finland,"1,516,117","11,958","1,503,989"
Norway,"1,509,732","6,638","1,503,094"
Kazakhstan,"1,411,831","13,848","1,383,020"
Lithuania,"1,397,806","9,897","1,387,478"
Slovenia,"1,356,546","7,100","1,349,424"
Bulgaria,"1,339,851","38,748","1,292,944"
Croatia,"1,309,728","18,687","1,258,432"
Guatemala,"1,291,293","20,289","1,269,891"
Morocco,"1,278,992","16,303",N/A
Lebanon,"1,243,838","10,952","1,087,587"
Costa Rica,"1,238,883","9,428",N/A
Bolivia,"1,212,131","22,407","1,177,145"
Tunisia,"1,153,361","29,423",N/A
Cuba,"1,115,251","8,530","1,106,660"
Ecuador,"1,070,188","36,043","1,034,145"
UAE,"1,067,030","2,349",N/A
Panama,"1,059,893","8,727","1,051,102"
Uruguay,"1,041,111","7,664","1,030,944"
Mongolia,"1,011,496","2,284","1,009,212"
Nepal,"1,003,450","12,031","991,322"
Belarus,"994,037","7,118","985,592"
Latvia,"982,505","6,715","971,406"
Saudi Arabia,"841,469","9,646",N/A
Paraguay,"837,602","20,155",N/A
Azerbaijan,"835,234","10,400","824,089"
Bahrain,"729,549","1,574","727,915"
Cyprus,"681,110","1,365","679,745"
Dominican Republic,"675,890","4,384","671,316"
Sri Lanka,"672,754","16,897","655,852"
Kuwait,"667,158","2,570",N/A
Myanmar,"641,873","19,495","620,159"
Moldova,"635,145","12,218",N/A
Estonia,"628,070","3,001",N/A
Palestine,"621,008","5,404","615,445"
Venezuela,"552,695","5,856","546,537"
Egypt,"516,023","24,613","442,182"
Qatar,"514,524",690,"513,687"
Libya,"507,274","6,437","500,835"
Ethiopia,"501,157","7,574","488,171"
Réunion,"494,595",921,N/A
Honduras,"474,590","11,165",N/A
Armenia,"451,831","8,777","435,162"
Bosnia and Herzegovina,"403,615","16,388","379,084"
Oman,"399,449","4,628",N/A
Luxembourg,"391,232","1,232",N/A
North Macedonia,"350,567","9,976","337,068"
Zambia,"349,304","4,069","341,316"
Kenya,"344,130","5,689","337,309"
Brunei,"343,719",225,"243,601"
Albania,"334,863","3,605","330,233"
Botswana,"330,638","2,801","327,049"
Montenegro,"296,542","2,846","291,794"
Algeria,"272,010","6,881","183,061"
Nigeria,"267,188","3,155","259,953"
Zimbabwe,"266,359","5,740","258,888"
Uzbekistan,"253,662","1,637","241,486"
Afghanistan,"234,174","7,996","211,080"
Mozambique,"233,731","2,250","228,805"
Martinique,"230,354","1,102",N/A
Laos,"218,970",758,N/A
Iceland,"209,906",229,N/A
Kyrgyzstan,"206,897","2,991","196,406"
Guadeloupe,"203,235","1,021",N/A
El Salvador,"201,855","4,230","179,410"
Trinidad and Tobago,"191,496","4,390","187,078"
Maldives,"186,694",316,"163,687"
Namibia,"172,389","4,106","167,099"
Uganda,"172,149","3,632","100,431"
Ghana,"171,889","1,462","170,425"
Jamaica,"156,869","3,756",N/A
Cambodia,"139,103","3,056","136,044"
Rwanda,"133,518","1,468","132,039"
Cameroon,"125,379","1,974","123,280"
Malta,"121,420",885,"120,149"
Barbados,"110,578",648,"108,647"
Angola,"107,327","1,937","103,419"
Channel Islands,"101,717",228,"101,321"
DRC,"99,338","1,468","84,489"
French Guiana,"98,041",420,"11,254"
Malawi,"89,535","2,686",N/A
Senegal,"89,053","1,971","87,024"
Ivory Coast,"88,384",835,"87,497"
Suriname,"82,588","1,408",N/A
New Caledonia,"80,064",314,N/A
French Polynesia,"79,254",650,N/A
Eswatini,"75,191","1,427","73,116"
Guyana,"74,137","1,300","72,013"
Belize,"71,409",688,N/A
Fiji,"69,117",885,"67,226"
Madagascar,"68,486","1,426","66,862"
Cabo Verde,"64,477",417,"63,755"
Sudan,"63,993","5,046","58,947"
Mauritania,"63,848",997,"62,471"
Bhutan,"62,697",21,"61,564"
Syria,"57,743","3,165","54,578"
Burundi,"54,721",38,"53,569"
Seychelles,"51,220",172,"51,048"
Gabon,"49,051",307,"48,674"
Andorra,"48,015",165,N/A
Papua New Guinea,"46,864",670,"46,168"
Curaçao,"45,986",295,"44,720"
Aruba,"44,224",292,"42,438"
Tanzania,"43,223",846,N/A
Mauritius,"43,025","1,051","41,278"
Mayotte,"42,027",188,N/A
Togo,"39,572",290,"39,281"
Guinea,"38,572",468,"37,757"
Bahamas,"38,084",844,"36,366"
Isle of Man,"38,008",116,N/A
Lesotho,"36,138",723,"25,980"
Haiti,"34,667",860,"33,734"
Faeroe Islands,"34,658",28,N/A
Mali,"33,164",743,"32,332"
Cayman Islands,"31,472",37,"8,553"
Saint Lucia,"30,215",410,"29,805"
Benin,"28,036",163,"27,847"
Macao,"27,673",123,"3,487"
Somalia,"27,334","1,361","13,182"
Micronesia,"26,547",65,N/A
San Marino,"26,185",128,"26,011"
Solomon Islands,"25,954",199,N/A
Congo,"25,375",386,"24,006"
Timor-Leste,"23,460",138,"23,102"
Burkina Faso,"22,114",400,"21,596"
Liechtenstein,"21,574",94,N/A
Gibraltar,"20,550",113,N/A
Grenada,"19,693",238,"19,358"
Bermuda,"18,860",165,"18,685"
South Sudan,"18,819",147,"18,115"
Nicaragua,"18,491",225,"4,225"
Tajikistan,"17,786",125,"17,264"
Equatorial Guinea,"17,229",183,"16,907"
Monaco,"17,181",67,N/A
Samoa,"17,006",31,"1,605"
Tonga,"16,950",13,"15,638"
Marshall Islands,"16,138",17,"16,121"
Dominica,"16,038",74,"15,964"
Djibouti,"15,690",189,"15,427"
CAR,"15,440",113,"15,200"
Gambia,"12,626",372,"12,189"
Saint Martin,"12,324",63,N/A
Vanuatu,"12,019",14,"11,976"
Greenland,"11,971",21,"2,761"
Yemen,"11,945","2,159","9,124"
Caribbean Netherlands,"11,682",38,"10,476"
Sint Maarten,"11,051",92,"10,905"
Eritrea,"10,189",103,"10,086"
Niger,"9,931",312,"8,890"
